ticker_or_identifier,name,cik,form_type,filed_at,period_of_report,accession_no,primary_document,primary_doc_description,items,url
0001681348,VivoPower PLC,1681348,6-K,2026-05-21,2026-05-21,0001493152-26-024744,form6-k.htm,6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226024744/form6-k.htm
0001681348,VivoPower PLC,1681348,SCHEDULE 13G,2026-05-18,,0001493152-26-024113,xslSCHEDULE_13G_X02/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226024113/xslSCHEDULE_13G_X02/primary_doc.xml
0001681348,VivoPower PLC,1681348,6-K/A,2026-04-28,2026-04-21,0001493152-26-019403,form6-ka.htm,6-K/A,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226019403/form6-ka.htm
0001681348,VivoPower PLC,1681348,6-K,2026-04-23,2026-04-23,0001493152-26-018689,form6-k.htm,6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226018689/form6-k.htm
0001681348,VivoPower PLC,1681348,6-K,2026-04-21,2026-03-20,0001493152-26-018239,form6-k.htm,6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226018239/form6-k.htm
0001681348,VivoPower PLC,1681348,3,2026-04-08,2026-03-18,0001493152-26-015656,xslF345X06/ownership.xml,3,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226015656/xslF345X06/ownership.xml
0001681348,VivoPower PLC,1681348,3,2026-03-27,2026-03-18,0001493152-26-013142,xslF345X06/ownership.xml,3,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226013142/xslF345X06/ownership.xml
0001681348,VivoPower PLC,1681348,3,2026-03-25,2026-03-18,0001493152-26-012636,xslF345X06/ownership.xml,3,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226012636/xslF345X06/ownership.xml
0001681348,VivoPower PLC,1681348,3,2026-03-25,2026-03-18,0001493152-26-012635,xslF345X06/ownership.xml,3,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226012635/xslF345X06/ownership.xml
0001681348,VivoPower PLC,1681348,6-K,2026-03-20,2026-03-20,0001493152-26-011761,form6-k.htm,6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226011761/form6-k.htm
0001681348,VivoPower PLC,1681348,6-K,2026-03-18,2026-03-18,0001493152-26-010936,form6-k.htm,6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226010936/form6-k.htm
0001681348,VivoPower PLC,1681348,6-K,2026-03-16,2026-03-16,0001493152-26-010206,form6-k.htm,6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226010206/form6-k.htm
0001681348,VivoPower PLC,1681348,S-8,2026-03-13,,0001493152-26-010106,forms-8.htm,S-8,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226010106/forms-8.htm
0001681348,VivoPower PLC,1681348,6-K,2026-03-10,2026-03-10,0001493152-26-009489,form6-k.htm,6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226009489/form6-k.htm
0001681348,VivoPower PLC,1681348,6-K,2026-02-19,2026-02-19,0001493152-26-007491,form6-k.htm,6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226007491/form6-k.htm
0001681348,VivoPower PLC,1681348,6-K,2026-02-13,2026-02-13,0001493152-26-006555,form6-k.htm,6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226006555/form6-k.htm
0001681348,VivoPower PLC,1681348,SCHEDULE 13G/A,2026-02-12,,0002026745-26-000001,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1681348/000202674526000001/xslSCHEDULE_13G_X01/primary_doc.xml
0001681348,VivoPower PLC,1681348,6-K,2026-02-05,2026-02-05,0001493152-26-005214,form6-k.htm,6-K,,https://www.sec.gov/Archives/edgar/data/1681348/000149315226005214/form6-k.htm
